Product ID,Product Name,Quantity,Price,Last Updated
1,Bagel - Whole White Sesame,97,$4.30,11/01/2018
2,Sauce - Caesar Dressing,16,$8.05,04/10/2019
3,Shiratamako - Rice Flour,71,$7.99,03/07/2018
4,Tart - Raisin And Pecan,86,$1.06,01/18/2019
5,Radish,22,$2.47,11/06/2018
6,Juice - V8 Splash,67,$1.25,01/13/2018
7,Red Currants,49,$6.77,10/01/2018
8,Soup - Base Broth Beef,62,$5.44,03/09/2019
9,Tomatoes Tear Drop Yellow,73,$0.64,02/09/2019
10,Mussels - Cultivated,24,$9.34,07/31/2018
11,"Bread - Crumbs, Bulk",88,$4.49,01/12/2019
12,"Beans - Long, Chinese",47,$4.73,09/22/2018
13,"Beans - Navy, Dry",44,$4.59,01/20/2018
14,"Basil - Dry, Rubbed",21,$8.69,02/04/2018
15,Apple - Granny Smith,72,$5.05,01/12/2018
16,"Lid - High Heat, Super Clear",5,$1.23,02/09/2018
17,Oranges - Navel,46,$4.78,06/06/2018
18,Berry Brulee,50,$7.59,08/25/2018
19,Lobster - Canned Premium,57,$7.61,04/15/2018
20,Ham - Procutinni,8,$5.70,01/09/2019
21,Veal - Ground,5,$7.67,12/19/2018
22,Oil - Cooking Spray,6,$4.20,06/11/2018
23,"Extract - Vanilla,artificial",20,$2.91,06/08/2018
24,"Mushroom - Porcini, Dry",71,$8.14,07/26/2018
25,Wine - Cabernet Sauvignon,54,$7.41,03/10/2018
